Last 4 Card Digits,Recency,Frequency,Monetary,Cluster,Segment,Churn
4857.0,20,1,0.0,1,New,0
4861.0,87,2,530.97,0,Lost,1
4862.0,70,1,0.0,0,Lost,1
4863.0,17,1,112.46,1,New,0
4864.0,7,1,10.93,1,New,0
4867.0,75,1,26.25,0,Lost,1
4870.0,111,1,81.94,0,Lost,1
4872.0,55,2,162.81,1,New,0
4884.0,41,2,81.91,1,New,0
4888.0,13,2,225.1,1,New,0
4903.0,110,1,28.38,0,Lost,1
4907.0,105,1,245.74,0,Lost,1
4911.0,56,1,26.25,1,New,0
4923.0,22,1,111.36,1,New,0
4935.0,28,1,96.05,1,New,0
4942.0,95,1,54.65,0,Lost,1
4943.0,12,1,14.16,1,New,0
4944.0,85,1,303.62,0,Lost,1
4946.0,37,2,171.48,1,New,0
4947.0,61,3,282.83,0,Lost,1
4956.0,6,1,15.32,1,New,0
4964.0,19,1,51.36,1,New,0
4971.0,105,1,44.79,0,Lost,1
4973.0,19,1,63.370000000000005,1,New,0
4983.0,12,2,103.81,1,New,0
4994.0,116,1,67.7,0,Lost,1
5005.0,9,1,21.84,1,New,0
5006.0,16,1,64.42,1,New,0
5009.0,111,1,92.88,0,Lost,1
5013.0,6,2,31.669999999999998,1,New,0
5017.0,77,1,32.82,0,Lost,1
5020.0,91,1,266.54,0,Lost,1
5037.0,62,1,137.65,0,Lost,1
5041.0,109,1,52.45,0,Lost,1
5043.0,17,1,51.29,1,New,0
5048.0,37,3,148.43,1,New,0
5060.0,12,1,103.77,1,New,0
5061.0,108,1,0.0,0,Lost,1
5064.0,66,1,223.85,0,Lost,1
5065.0,13,1,86.31,1,New,0
5073.0,47,1,71.03999999999999,1,New,0
5084.0,70,1,90.62,0,Lost,1
5091.0,91,1,91.7,0,Lost,1
5095.0,6,1,52.5,1,New,0
5114.0,103,1,148.54,0,Lost,1
5117.0,20,1,52.5,1,New,0
5128.0,5,1,75.43,1,New,0
5132.0,12,1,214.29,1,New,0
5134.0,49,1,85.22,1,New,0
5135.0,62,1,40.41,0,Lost,1
5136.0,48,1,62.24,1,New,0
5137.0,20,1,11.469999999999999,1,New,0
5138.0,23,1,9.26,1,New,0
5150.0,48,1,18.59,1,New,0
5151.0,9,1,13.12,1,New,0
5152.0,113,1,12.55,0,Lost,1
5153.0,77,1,194.36,0,Lost,1
5154.0,49,1,184.68,1,New,0
5162.0,41,1,26.25,1,New,0
5167.0,12,1,181.23,1,New,0
5171.0,111,1,84.07,0,Lost,1
5172.0,4,1,137.66,1,New,0
5174.0,69,1,93.85,0,Lost,1
5175.0,52,1,9.81,1,New,0
5185.0,4,1,65.58,1,New,0
5191.0,92,1,61.15,0,Lost,1
5198.0,111,1,95.02,0,Lost,1
5207.0,58,2,168.16,1,New,0
5213.0,34,2,311.53999999999996,1,New,0
5216.0,6,1,50.2,1,New,0
5230.0,48,1,56.76,1,New,0
5232.0,9,4,346.24,3,Occasional,0
5239.0,5,1,30.58,1,New,0
5253.0,28,1,90.67,1,New,0
5256.0,11,2,122.28999999999999,1,New,0
5262.0,6,1,123.53999999999999,1,New,0
5264.0,54,1,116.81,1,New,0
5267.0,38,1,197.64,1,New,0
5268.0,55,1,228.10999999999999,1,New,0
5285.0,112,1,14.21,0,Lost,1
5290.0,54,1,26.25,1,New,0
5306.0,6,1,61.08,1,New,0
5318.0,25,1,79.75999999999999,1,New,0
5322.0,6,1,98.34,1,New,0
5324.0,78,5,148.01,0,Lost,1
5325.0,108,1,82.98,0,Lost,1
5337.0,61,1,50.2,0,Lost,1
5338.0,111,1,99.36,0,Lost,1
5341.0,32,1,32.79,1,New,0
5347.0,34,1,171.42,1,New,0
5357.0,104,1,35.0,0,Lost,1
5358.0,89,2,894.7,3,Occasional,0
