Last 4 Card Digits,Recency,Frequency,Monetary,Unique_Items,Avg_Order_Val,Avg_Tip,Discount_Used,Visits_Nov,Visits_Dec,Visits_Jan,Days_Since_First,Segment,Segment_Code,Churn,Churn_Probability,Risk_Level,Tier
8889.0,82,1,81.93,4,20.4825,9.01,0,4,0,0,82,Lost,3,1,0.92,High,Rule-Based
8893.0,21,1,103.82,5,14.831428571428571,6.660000000000001,1,0,0,7,21,New,1,1,0.65,Medium,Rule-Based
8896.0,46,1,39.28,2,19.64,0.0,0,0,2,0,46,Lost,3,1,0.92,High,Rule-Based
8905.0,53,1,462.36,6,25.686666666666667,5.91,0,0,18,0,53,Lost,3,1,0.92,High,Rule-Based
8914.0,81,1,33.81,2,16.905,5.0,0,2,0,0,81,Lost,3,1,0.92,High,Rule-Based
8918.0,84,1,18.54,1,18.54,21.81,0,1,0,0,84,Lost,3,1,0.92,High,Rule-Based
8925.0,18,1,143.12,7,17.89,28.62,0,0,0,8,18,New,1,1,0.65,Medium,Rule-Based
8926.0,84,1,38.230000000000004,2,19.115000000000002,6.88,0,2,0,0,84,Lost,3,1,0.92,High,Rule-Based
8927.0,87,1,14.16,1,14.16,20.0,0,1,0,0,87,Lost,3,1,0.92,High,Rule-Based
8928.0,52,1,0.0,1,0.0,4.28,1,0,1,0,52,Lost,3,1,0.92,High,Rule-Based
8940.0,36,1,52.5,1,52.5,7.54,0,0,1,0,36,Lost,3,1,0.92,High,Rule-Based
8954.0,75,1,52.5,2,26.25,10.82,0,2,0,0,75,Lost,3,1,0.92,High,Rule-Based
8955.0,44,1,47.019999999999996,3,15.673333333333332,5.3,0,0,3,0,44,Lost,3,1,0.92,High,Rule-Based
8956.0,62,1,61.22,6,10.203333333333333,7.46,0,6,0,0,62,Lost,3,1,0.92,High,Rule-Based
8959.0,2,1,92.87,5,18.574,12.45,0,0,0,5,2,New,1,1,0.3,Low,Rule-Based
8974.0,4,1,73.24,2,24.41333333333333,10.08,0,0,0,3,4,New,1,1,0.3,Low,Rule-Based
8976.0,10,1,9.81,1,9.81,8.0,1,0,0,1,10,New,1,1,0.3,Low,Rule-Based
9000.0,62,1,0.0,3,0.0,14.21,3,3,0,0,62,Lost,3,1,0.92,High,Rule-Based
9005.0,4,1,8.75,1,8.75,4.72,0,0,0,1,4,New,1,1,0.3,Low,Rule-Based
9010.0,66,1,45.879999999999995,2,22.939999999999998,15.0,0,2,0,0,66,New,1,0,0.92,High,Rule-Based
9019.0,32,1,129.87,5,25.974,8.0,0,0,5,0,32,Lost,3,1,0.92,High,Rule-Based
9020.0,4,1,8.75,1,8.75,5.5,0,0,0,1,4,New,1,1,0.3,Low,Rule-Based
